GeneSymbol	chr	NSNP	Case+	Case-	Normal+	Normal-	OR	P	Beta	P
ABCA7	chr19	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
ACP5	chr19	1	0	137	2	103	0.00182149362477231	1	-1.42106209425491	0.158290220019147
ALKBH7	chr19	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
ANKLE1	chr19	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
ANKRD27	chr19	3	2	135	1	104	1.53874538745387	0.599002091834985	-0.732751883310602	0.465257694651398
AP1M1	chr19	1	5	132	1	104	3.92830188679245	0.181024684988121	1.44326026978035	0.15041104600208
AP1M2	chr19	1	6	131	4	101	1.15633937082936	0.546843718428737	0.22184182192895	0.824633395399774
APBA3	chr19	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
APOC4	chr19	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
ARHGAP33	chr19	1	0	137	0	105	1	1	NA	NA
ARHGAP35	chr19	1	0	137	0	105	1	1	NA	NA
ARMC6	chr19	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
ATP8B3	chr19	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
BLVRB	chr19	3	2	135	3	102	0.504315659679408	0.886743255844519	-0.927867349213607	0.355020213499123
BTBD2	chr19	1	1	136	2	103	0.379816513761468	0.919644388052536	-0.769757475987611	0.442552343492799
C19orf35	chr19	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
C19orf44	chr19	1	0	137	0	105	1	1	NA	NA
C19orf57	chr19	1	0	137	0	105	1	1	NA	NA
C19orf71	chr19	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CAPS	chr19	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
CARD8	chr19	1	0	137	0	105	1	1	NA	NA
CBLC	chr19	1	0	137	0	105	1	1	NA	NA
CCDC159	chr19	1	4	133	3	102	1.02252816020025	0.643863582595547	0.0286980430488565	0.977130860743259
CCDC8	chr19	1	0	137	0	105	1	1	NA	NA
CD177	chr19	1	0	137	0	105	1	1	NA	NA
CD22	chr19	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
CDC34	chr19	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CEACAM21	chr19	1	0	137	0	105	1	1	NA	NA
