GeneSymbol	chr	NSNP	Case+	Case-	Normal+	Normal-	OR	P	Beta	P
A2M	chr12	1	4	133	3	102	1.02252816020025	0.643863582595547	0.0286980430488565	0.977130860743259
ABCC9	chr12	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
ACACB	chr12	1	4	133	4	101	0.75962441314554	0.773187663932345	-0.375760124041213	0.707478511812386
ACADS	chr12	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
ACSM4	chr12	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
ADGRD1	chr12	1	0	137	0	105	1	1	NA	NA
ALKBH2	chr12	3	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
ANKRD33	chr12	1	9	128	4	101	1.77463414634146	0.258956153206138	0.973523040412516	0.33127369028925
ANO6	chr12	1	0	137	0	105	1	1	NA	NA
APOBEC1	chr12	2	0	137	0	105	1	1	NA	NA
ARHGDIB	chr12	1	0	137	0	105	1	1	NA	NA
ARNTL2	chr12	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
ART4	chr12	1	0	137	0	105	1	1	NA	NA
ATG101	chr12	1	0	137	0	105	1	1	NA	NA
B4GALNT3	chr12	2	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
C12orf57	chr12	1	0	137	0	105	1	1	NA	NA
C12orf60	chr12	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
C12orf73	chr12	1	0	137	0	105	1	1	NA	NA
C1R	chr12	1	0	137	0	105	1	1	NA	NA
C1RL	chr12	1	3	134	2	103	1.15270018621974	0.62353419818038	0.155225476322469	0.876779296640883
C1S	chr12	1	0	137	0	105	1	1	NA	NA
CABP1	chr12	1	4	133	0	105	841	0.100752653103625	2.02243060793437	0.0450926105048168
CCDC59	chr12	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
CCDC60	chr12	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CCDC91	chr12	1	0	137	0	105	1	1	NA	NA
CCDC92	chr12	1	2	135	1	104	1.53874538745387	0.599002091834985	0.362039454737359	0.71764215305325
CDCA3	chr12	1	0	137	0	105	1	1	NA	NA
CDK2	chr12	2	2	135	5	100	0.296817172464841	0.972471140513029	-1.49765062850696	0.13655190065277
CELA1	chr12	1	10	127	10	95	0.748130657221566	0.805076563301417	-0.610881012838432	0.541942696552561
CLEC4A	chr12	1	0	137	0	105	1	1	NA	NA
CLEC6A	chr12	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CLEC7A	chr12	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CLIP1	chr12	2	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
CLLU1OS	chr12	1	0	137	0	105	1	1	NA	NA
COPZ1	chr12	1	2	135	3	102	0.504315659679408	0.886743255844519	-0.723827300168018	0.470106075073426
COQ10A	chr12	1	0	137	0	105	1	1	NA	NA
DAO	chr12	1	1	136	2	103	0.379816513761468	0.919644388052536	-0.769757475987611	0.442552343492799
DCD	chr12	2	11	126	7	98	1.22209631728045	0.44305297335339	0.10950319466856	0.912906908516654
DHH	chr12	1	0	137	0	105	1	1	NA	NA
DHX37	chr12	1	0	137	0	105	1	1	NA	NA
