GeneSymbol	chr	NSNP	Case+	Case-	Normal+	Normal-	OR	P	Beta	P
ABCC1	chr16	2	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
ABCC12	chr16	4	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
ACD	chr16	1	0	137	0	105	1	1	NA	NA
ACSM3	chr16	2	0	137	0	105	1	1	NA	NA
AFG3L1P	chr16	2	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
AHSP	chr16	1	0	137	0	105	1	1	NA	NA
ANKS3	chr16	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
APRT	chr16	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
ARMC5	chr16	1	0	137	0	105	1	1	NA	NA
ATP2C2	chr16	1	0	137	0	105	1	1	NA	NA
BBS2	chr16	1	0	137	0	105	1	1	NA	NA
BEAN1	chr16	1	0	137	0	105	1	1	NA	NA
C16orf78	chr16	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
C16orf96	chr16	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
C1QTNF8	chr16	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CAPN15	chr16	1	0	137	2	103	0.00182149362477231	1	-1.42106209425491	0.158290220019147
CARHSP1	chr16	1	0	137	0	105	1	1	NA	NA
CASP16P	chr16	1	0	137	0	105	1	1	NA	NA
CBFB	chr16	1	0	137	0	105	1	1	NA	NA
CCDC78	chr16	1	0	137	0	105	1	1	NA	NA
CDH15	chr16	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CDYL2	chr16	1	2	135	1	104	1.53874538745387	0.599002091834985	0.362039454737359	0.71764215305325
CENPBD1	chr16	1	0	137	0	105	1	1	NA	NA
CENPN	chr16	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
CES1	chr16	1	0	137	0	105	1	1	NA	NA
CES3	chr16	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CES5A	chr16	4	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
CFDP1	chr16	1	0	137	0	105	1	1	NA	NA
CHMP1A	chr16	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
CHP2	chr16	1	0	137	0	105	1	1	NA	NA
CIAPIN1	chr16	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
CMC2	chr16	4	4	133	4	101	0.75962441314554	0.773187663932345	-0.511204079430861	0.609722011584592
CORO7-PAM16	chr16	1	0	137	0	105	1	1	NA	NA
CPNE7	chr16	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CRISPLD2	chr16	1	0	137	0	105	1	1	NA	NA
