# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_protein_protein_contact	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_structural_interaction_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
A3GALT2	ENSG00000184389	ENST00000330379	protein_coding	1	0	0	56	0	0	0	0	0	0	0	11	1	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
A3GALT2	ENSG00000184389	ENST00000442999	protein_coding	1	0	1	81	0	0	0	0	0	0	0	11	1	0	51	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19
AADACL3	ENSG00000188984	ENST00000332530	protein_coding	0	0	6	83	14	0	2	0	0	0	0	19	0	0	33	6	0	0	0	0	0	0	0	0	0	0	0	0	0	15
AADACL3	ENSG00000188984	ENST00000359318	protein_coding	0	1	7	74	0	0	1	0	0	0	0	26	0	0	31	7	0	0	0	0	0	0	0	0	0	0	0	0	1	16
AADACL4	ENSG00000204518	ENST00000376221	protein_coding	0	3	2	95	0	0	0	0	0	0	0	8	0	0	63	2	0	0	0	0	0	0	0	0	0	0	0	0	3	24
ABCA4	ENSG00000198691	ENST00000370225	protein_coding	0	12	24	543	1	0	0	0	0	0	0	17	0	0	497	24	0	0	0	1	0	0	5	0	0	0	0	0	9	30
ABCA4	ENSG00000198691	ENST00000460514	processed_transcript	0	0	0	52	0	0	0	0	0	0	0	18	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
ABCA4	ENSG00000198691	ENST00000465352	processed_transcript	0	1	0	174	0	0	0	0	0	0	0	38	0	0	77	0	16	0	0	0	0	0	1	0	0	0	0	0	0	44
ABCA4	ENSG00000198691	ENST00000470771	processed_transcript	0	0	0	37	0	0	0	0	0	0	0	19	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
ABCA4	ENSG00000198691	ENST00000472033	processed_transcript	0	0	0	30	0	0	0	0	0	0	0	9	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
ABCA4	ENSG00000198691	ENST00000484388	processed_transcript	0	0	0	119	0	0	0	0	0	0	0	58	0	0	18	0	3	0	0	0	0	0	0	0	0	0	0	0	0	40
ABCA4	ENSG00000198691	ENST00000535735	protein_coding	0	1	11	297	0	0	0	0	0	0	0	12	0	0	255	11	0	0	0	0	0	0	1	0	0	0	0	0	1	30
ABCA4	ENSG00000198691	ENST00000535881	protein_coding	0	8	8	188	0	0	1	0	0	0	0	17	0	0	126	8	0	0	0	0	0	0	4	0	0	0	0	0	6	46
ABCA4	ENSG00000198691	ENST00000536513	protein_coding	0	9	9	203	0	0	0	0	0	0	0	17	0	0	175	9	0	0	0	0	0	0	5	0	0	0	0	0	6	14
ABCB10	ENSG00000135776	ENST00000344517	protein_coding	2	14	4	105	3	0	0	0	0	0	0	6	0	0	85	4	0	0	0	11	0	0	2	0	0	0	0	2	2	12
ABCB10	ENSG00000135776	ENST00000486755	processed_transcript	0	1	0	46	0	0	0	0	0	0	0	15	0	0	12	0	3	0	0	0	0	0	1	0	0	0	0	0	0	17
ABCB10	ENSG00000135776	ENST00000498158	processed_transcript	0	0	0	28	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20
ABCD3	ENSG00000117528	ENST00000315713	protein_coding	0	1	0	130	0	0	0	0	0	0	0	5	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8
ABCD3	ENSG00000117528	ENST00000370214	protein_coding	0	1	0	188	4	0	0	0	0	0	0	3	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8
ABCD3	ENSG00000117528	ENST00000394233	protein_coding	0	2	0	188	4	1	1	0	0	0	0	3	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7
ABCD3	ENSG00000117528	ENST00000454898	protein_coding	0	2	0	186	2	1	1	0	0	0	0	3	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7
ABCD3	ENSG00000117528	ENST00000464165	processed_transcript	0	0	0	23	0	0	0	0	0	0	0	4	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	9
ABCD3	ENSG00000117528	ENST00000468860	processed_transcript	0	0	0	125	0	0	0	0	0	0	0	6	0	0	110	0	3	0	0	0	0	0	0	0	0	0	0	0	0	6
ABCD3	ENSG00000117528	ENST00000484213	processed_transcript	0	0	0	66	0	0	0	0	0	0	0	3	0	0	52	0	7	0	0	0	0	0	0	0	0	0	0	0	0	4
ABCD3	ENSG00000117528	ENST00000493416	processed_transcript	0	0	0	19	0	0	0	0	0	0	0	5	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ABCD3	ENSG00000117528	ENST00000536817	protein_coding	0	1	0	189	2	1	2	0	0	0	0	5	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
ABHD17AP3	ENSG00000250536	ENST00000503096	unprocessed_pseudogene	0	1	0	49	0	0	0	0	0	0	0	19	0	0	6	0	8	0	0	0	0	0	1	0	0	0	0	0	0	17
ABL2	ENSG00000143322	ENST00000344730	protein_coding	0	3	3	157	8	0	0	0	0	0	0	16	0	0	115	3	0	0	0	0	0	0	0	0	0	0	0	0	3	18
ABL2	ENSG00000143322	ENST00000367623	protein_coding	0	3	2	407	0	0	0	0	0	0	0	13	0	0	372	2	0	0	0	0	0	0	0	0	0	0	0	0	3	22
ABL2	ENSG00000143322	ENST00000392043	protein_coding	0	3	0	404	0	0	1	0	0	0	0	11	0	0	369	0	0	0	0	0	0	0	0	0	0	0	0	0	3	23
ABL2	ENSG00000143322	ENST00000408940	protein_coding	0	3	3	171	23	0	0	0	0	0	0	15	0	0	115	3	0	0	0	0	0	0	0	0	0	0	0	0	3	18
ABL2	ENSG00000143322	ENST00000502732	protein_coding	0	3	2	433	23	0	1	0	0	0	0	15	0	0	372	2	0	0	0	0	0	0	0	0	0	0	0	0	3	22
ABL2	ENSG00000143322	ENST00000504324	retained_intron	0	0	0	130	0	0	0	0	0	0	0	16	0	0	93	0	3	0	0	0	0	0	0	0	0	0	0	0	0	18
ABL2	ENSG00000143322	ENST00000504405	protein_coding	0	3	3	146	0	0	0	0	0	0	0	13	0	0	115	3	0	0	0	0	0	0	0	0	0	0	0	0	3	18
ABL2	ENSG00000143322	ENST00000507173	protein_coding	0	3	2	407	0	0	0	0	0	0	0	13	0	0	372	2	0	0	0	0	0	0	0	0	0	0	0	0	3	22
ABL2	ENSG00000143322	ENST00000508127	retained_intron	0	0	0	78	0	0	0	0	0	0	0	19	0	0	40	0	1	0	0	0	0	0	0	0	0	0	0	0	0	18
ABL2	ENSG00000143322	ENST00000509520	retained_intron	0	0	0	130	0	0	0	0	0	0	0	16	0	0	93	0	3	0	0	0	0	0	0	0	0	0	0	0	0	18
ABL2	ENSG00000143322	ENST00000511413	protein_coding	0	3	2	407	0	0	0	0	0	0	0	13	0	0	372	2	0	0	0	0	0	0	0	0	0	0	0	0	3	22
ABL2	ENSG00000143322	ENST00000512653	protein_coding	0	3	3	147	0	0	0	0	0	0	0	14	0	0	115	3	0	0	0	0	0	0	0	0	0	0	0	0	3	18
AC000032.2	ENSG00000260246	ENST00000562538	antisense	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004824.1	ENSG00000266727	ENST00000583469	miRNA	0	0	0	26	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
AC004824.2	ENSG00000269468	ENST00000602074	protein_coding	1	2	2	188	0	0	0	0	0	0	0	23	1	0	152	2	0	0	0	0	0	1	1	0	0	0	0	0	2	14
AC092017.1	ENSG00000221488	ENST00000408561	miRNA	0	0	0	38	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
AC092265.1	ENSG00000221126	ENST00000408199	miRNA	0	0	0	49	0	0	0	0	0	0	0	27	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	21
AC092765.1	ENSG00000212094	ENST00000390805	miRNA	0	0	0	37	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
AC092782.1	ENSG00000269795	ENST00000596590	protein_coding	0	0	0	49	0	0	0	0	0	0	0	9	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
AC092811.1	ENSG00000203691	ENST00000366845	protein_coding	0	1	0	35	0	0	2	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20
AC092812.1	ENSG00000221798	ENST00000408871	miRNA	0	0	0	32	0	0	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17
AC093157.1	ENSG00000269175	ENST00000593496	protein_coding	0	0	0	27	2	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
AC093430.1	ENSG00000266388	ENST00000577685	miRNA	0	0	0	41	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
AC093577.1	ENSG00000238787	ENST00000408239	miRNA	0	0	0	17	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
AC095030.1	ENSG00000221664	ENST00000408737	miRNA	0	0	0	49	0	0	0	0	0	0	0	23	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	22
AC096534.1	ENSG00000263380	ENST00000584315	miRNA	0	0	0	14	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
AC096633.1	ENSG00000221403	ENST00000408476	miRNA	0	0	0	36	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
AC096643.1	ENSG00000252240	ENST00000516431	miRNA	0	0	0	42	0	0	0	0	0	0	0	19	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	21
AC096644.1	ENSG00000224867	ENST00000416839	protein_coding	0	1	1	84	0	0	0	0	0	0	0	33	0	0	31	1	0	0	0	0	0	0	1	0	0	0	0	0	1	20
AC096645.1	ENSG00000211554	ENST00000390128	miRNA	0	0	0	52	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
AC096677.1	ENSG00000269690	ENST00000593583	protein_coding	0	0	1	18	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10
AC096951.1	ENSG00000221720	ENST00000408793	miRNA	0	0	0	47	0	0	0	0	0	0	0	23	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	23
AC099757.1	ENSG00000238952	ENST00000458882	miRNA	0	0	0	37	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
AC099791.1	ENSG00000264551	ENST00000580743	miRNA	0	0	0	51	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
AC099796.1	ENSG00000265404	ENST00000577877	miRNA	0	0	0	41	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
AC104169.1	ENSG00000251899	ENST00000516090	miRNA	0	0	0	48	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
AC104457.1	ENSG00000216067	ENST00000401248	miRNA	0	0	0	31	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
AC104458.1	ENSG00000264686	ENST00000578124	miRNA	0	0	0	24	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
AC104837.1	ENSG00000221683	ENST00000408756	miRNA	0	0	0	50	0	0	0	0	0	0	0	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	29
AC105941.1	ENSG00000239006	ENST00000410741	miRNA	0	0	0	22	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14
AC114491.1	ENSG00000238883	ENST00000459420	miRNA	0	0	0	30	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
AC114494.1	ENSG00000268950	ENST00000596131	protein_coding	0	2	1	50	0	0	0	0	0	0	0	31	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	19
AC115286.1	ENSG00000221053	ENST00000408126	miRNA	0	0	0	22	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
AC119673.1	ENSG00000268313	ENST00000598338	protein_coding	1	0	1	28	2	0	2	0	0	0	0	10	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14
AC119674.1	ENSG00000223307	ENST00000411375	miRNA	0	0	0	29	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
ACA64	ENSG00000238934	ENST00000459014	snoRNA	0	0	0	32	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
ACADM	ENSG00000117054	ENST00000370834	protein_coding	0	3	2	245	3	0	1	0	0	0	0	26	0	0	199	2	0	0	0	0	0	0	0	0	0	0	0	0	3	16
ACADM	ENSG00000117054	ENST00000370841	protein_coding	0	5	2	249	5	0	4	0	0	0	0	26	0	0	200	2	0	0	0	3	0	0	0	0	0	0	0	0	2	14
ACADM	ENSG00000117054	ENST00000420607	protein_coding	0	5	2	243	1	0	0	0	0	0	0	25	0	0	200	2	0	0	0	3	0	0	0	0	0	0	0	0	2	17
ACADM	ENSG00000117054	ENST00000473018	retained_intron	0	0	0	100	0	0	0	0	0	0	0	36	0	0	45	0	2	0	0	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000481374	processed_transcript	0	0	0	119	0	0	0	0	0	0	0	26	0	0	69	0	5	0	0	0	0	0	0	0	0	0	0	0	0	19
ACADM	ENSG00000117054	ENST00000525808	nonsense_mediated_decay	0	1	0	248	4	0	0	0	0	0	0	26	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17
ACADM	ENSG00000117054	ENST00000525881	retained_intron	0	0	0	103	0	0	0	0	0	0	0	38	0	0	45	0	4	0	0	0	0	0	0	0	0	0	0	0	0	16
ACADM	ENSG00000117054	ENST00000526129	nonsense_mediated_decay	0	0	1	237	3	0	1	0	0	0	0	18	0	0	199	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16
ACADM	ENSG00000117054	ENST00000526196	nonsense_mediated_decay	0	1	0	248	5	0	1	0	0	0	0	26	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16
ACADM	ENSG00000117054	ENST00000526930	retained_intron	0	0	0	136	0	0	0	0	0	0	0	36	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
ACADM	ENSG00000117054	ENST00000528016	nonsense_mediated_decay	0	0	1	241	4	0	0	0	0	0	0	15	0	0	204	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18
ACADM	ENSG00000117054	ENST00000529059	retained_intron	0	0	0	218	0	0	0	0	0	0	0	26	0	0	157	0	6	0	0	0	0	0	0	0	0	0	0	0	0	29
ACADM	ENSG00000117054	ENST00000530953	nonsense_mediated_decay	0	0	0	181	0	0	0	0	0	0	0	36	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000532207	retained_intron	0	0	0	125	0	0	0	0	0	0	0	18	0	0	85	0	3	0	0	0	0	0	0	0	0	0	0	0	0	19
ACADM	ENSG00000117054	ENST00000532509	nonsense_mediated_decay	0	0	0	181	1	0	1	0	0	0	0	36	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
ACADM	ENSG00000117054	ENST00000534146	retained_intron	0	0	0	102	0	0	0	0	0	0	0	37	0	0	45	0	4	0	0	0	0	0	0	0	0	0	0	0	0	16
ACADM	ENSG00000117054	ENST00000534334	nonsense_mediated_decay	0	0	1	236	3	0	0	0	0	0	0	18	0	0	198	1	0	0	0	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000541113	protein_coding	0	2	2	245	2	0	0	0	0	0	0	26	0	0	200	2	0	0	0	0	0	0	0	0	0	0	0	0	2	17
ACADM	ENSG00000117054	ENST00000543667	protein_coding	0	1	1	247	2	0	1	0	0	0	0	26	0	0	201	1	0	0	0	0	0	0	0	0	0	0	0	0	1	17
ACAP3	ENSG00000131584	ENST00000353662	protein_coding	0	3	3	125	3	0	0	0	0	0	0	30	0	0	79	3	0	0	0	0	0	0	1	0	0	0	0	0	2	14
ACAP3	ENSG00000131584	ENST00000354700	protein_coding	0	3	3	126	3	0	0	0	0	0	0	30	0	0	79	3	0	0	0	0	0	0	1	0	0	0	0	0	2	15
ACAP3	ENSG00000131584	ENST00000354980	nonsense_mediated_decay	0	0	0	89	1	0	0	0	0	0	0	39	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
ACAP3	ENSG00000131584	ENST00000379037	processed_transcript	0	0	0	65	0	0	0	0	0	0	0	23	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
ACAP3	ENSG00000131584	ENST00000438966	processed_transcript	0	0	0	57	0	0	0	0	0	0	0	16	0	0	26	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14
ACAP3	ENSG00000131584	ENST00000467278	retained_intron	0	1	0	89	0	0	0	0	0	0	0	29	0	0	39	0	6	0	0	0	0	0	1	0	0	0	0	0	0	16
ACAP3	ENSG00000131584	ENST00000470659	retained_intron	0	0	0	71	0	0	0	0	0	0	0	27	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43
ACAP3	ENSG00000131584	ENST00000472541	retained_intron	0	0	0	101	0	0	0	0	0	0	0	42	0	0	38	0	6	0	0	0	0	0	0	0	0	0	0	0	0	15
ACAP3	ENSG00000131584	ENST00000476572	retained_intron	0	1	0	73	0	0	0	0	0	0	0	23	0	0	31	0	2	0	0	0	0	0	1	0	0	0	0	0	0	18
ACAP3	ENSG00000131584	ENST00000478065	retained_intron	0	0	0	72	0	0	0	0	0	0	0	34	0	0	5	0	14	0	0	0	0	0	0	0	0	0	0	0	0	19
ACAP3	ENSG00000131584	ENST00000479108	retained_intron	0	0	0	80	0	0	0	0	0	0	0	33	0	0	32	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14
ACAP3	ENSG00000131584	ENST00000492936	retained_intron	0	1	0	123	0	0	0	0	0	0	0	30	0	0	56	0	18	0	0	0	0	0	1	0	0	0	0	0	0	20
ACAP3	ENSG00000131584	ENST00000493992	retained_intron	0	0	0	58	0	0	0	0	0	0	0	40	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16
ACBD3	ENSG00000182827	ENST00000366812	protein_coding	0	0	3	174	4	0	0	0	0	0	0	34	0	0	127	3	0	0	0	0	0	0	0	0	0	0	0	0	0	9
ACBD3	ENSG00000182827	ENST00000464927	processed_transcript	0	0	0	47	0	0	0	0	0	0	0	11	0	0	21	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14
ACBD6	ENSG00000135847	ENST00000367595	protein_coding	0	0	0	740	0	0	3	0	0	0	0	13	0	0	708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
ACBD6	ENSG00000135847	ENST00000475338	processed_transcript	0	1	0	450	0	0	0	0	0	0	0	13	0	0	425	0	1	0	0	0	0	0	1	0	0	0	0	0	0	12
ACBD6	ENSG00000135847	ENST00000496993	processed_transcript	0	0	0	542	0	0	0	0	0	0	0	20	0	0	508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
ACOT11	ENSG00000162390	ENST00000343744	protein_coding	6	5	10	341	10	0	1	0	0	0	0	23	0	0	295	10	0	0	0	0	0	0	4	0	1	0	0	5	4	13
ACOT11	ENSG00000162390	ENST00000371316	protein_coding	1	4	10	478	23	0	1	0	0	0	0	23	0	0	419	10	0	0	0	0	0	0	4	0	1	0	0	0	3	13
ACOT11	ENSG00000162390	ENST00000479837	processed_transcript	0	1	0	52	0	0	0	0	0	0	0	17	0	0	9	0	4	0	0	0	0	0	1	0	0	0	0	0	0	23
ACOT11	ENSG00000162390	ENST00000481208	processed_transcript	0	3	0	371	0	0	0	0	0	0	0	23	0	0	313	0	22	0	0	0	0	0	3	0	0	0	0	0	0	16
ACOT11	ENSG00000162390	ENST00000498228	processed_transcript	0	3	0	294	0	0	0	0	0	0	0	18	0	0	252	0	14	0	0	0	0	0	3	0	0	0	0	0	0	13
ACOT7	ENSG00000097021	ENST00000361521	protein_coding	3	1	0	574	3	0	5	0	0	0	0	10	0	0	535	0	0	0	0	0	0	0	0	0	0	0	0	3	1	21
ACOT7	ENSG00000097021	ENST00000377842	protein_coding	0	1	0	455	3	0	1	0	0	0	0	10	0	0	417	0	0	0	0	0	0	0	0	0	0	0	0	0	1	24
ACOT7	ENSG00000097021	ENST00000377845	protein_coding	0	1	0	460	3	0	0	0	0	0	0	10	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23
ACOT7	ENSG00000097021	ENST00000377855	protein_coding	0	1	0	542	3	0	0	0	0	0	0	10	0	0	511	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18
ACOT7	ENSG00000097021	ENST00000377860	nonsense_mediated_decay	0	1	0	570	3	0	0	0	0	0	0	10	0	0	535	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22
ACOT7	ENSG00000097021	ENST00000418124	nonsense_mediated_decay	0	1	0	570	3	0	0	0	0	0	0	10	0	0	535	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22
ACOT7	ENSG00000097021	ENST00000473466	protein_coding	0	1	0	378	0	0	1	0	0	0	0	19	0	0	326	0	0	0	0	0	0	0	0	0	0	0	0	0	1	32
ACOT7	ENSG00000097021	ENST00000481175	retained_intron	0	0	0	88	0	0	0	0	0	0	0	19	0	0	43	0	5	0	0	0	0	0	0	0	0	0	0	0	0	21
ACOT7	ENSG00000097021	ENST00000541130	protein_coding	0	0	0	320	1	0	0	0	0	0	0	31	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
ACOT7	ENSG00000097021	ENST00000545482	protein_coding	0	1	0	570	3	0	0	0	0	0	0	10	0	0	535	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22
ACOT7	ENSG00000097021	ENST00000608083	protein_coding	0	1	0	570	3	0	0	0	0	0	0	10	0	0	535	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22
ACP6	ENSG00000162836	ENST00000369238	protein_coding	0	3	6	124	18	0	2	0	0	0	0	10	0	0	82	6	0	0	0	0	0	0	0	0	0	0	0	0	3	12
ACP6	ENSG00000162836	ENST00000392988	protein_coding	0	2	3	95	0	0	1	0	0	0	0	7	0	0	76	3	0	0	0	0	0	0	0	0	0	0	0	0	2	11
ACP6	ENSG00000162836	ENST00000460583	processed_transcript	0	0	0	39	0	0	0	0	0	0	0	17	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	16
ACP6	ENSG00000162836	ENST00000487562	processed_transcript	0	0	0	55	0	0	0	0	0	0	0	14	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
ACP6	ENSG00000162836	ENST00000493129	processed_transcript	0	0	0	89	0	0	0	0	0	0	0	28	0	0	46	0	3	0	0	0	0	0	0	0	0	0	0	0	0	12
ACP6	ENSG00000162836	ENST00000609196	protein_coding	1	2	1	136	3	0	0	0	0	0	0	16	0	0	92	1	0	0	0	0	0	0	0	0	1	0	0	0	2	25
ACTA1	ENSG00000143632	ENST00000366683	protein_coding	0	2	0	37	0	0	2	0	0	0	0	15	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	1	15
ACTA1	ENSG00000143632	ENST00000366684	protein_coding	0	2	0	37	0	0	2	0	0	0	0	15	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	1	15
ACTBP11	ENSG00000188460	ENST00000436287	processed_pseudogene	0	0	0	30	0	0	0	0	0	0	0	16	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	8
ACTBP12	ENSG00000233125	ENST00000435871	transcribed_processed_pseudogene	0	0	0	26	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
ACTBP12	ENSG00000233125	ENST00000594933	processed_transcript	0	0	0	27	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
ACTG1P4	ENSG00000236085	ENST00000425123	processed_pseudogene	0	0	0	21	0	0	0	0	0	0	0	12	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7
ACTL8	ENSG00000117148	ENST00000375406	protein_coding	0	4	5	275	1	0	1	0	0	0	0	14	0	0	251	5	0	0	0	0	0	0	1	0	0	0	0	0	3	9
ACTN2	ENSG00000077522	ENST00000366578	protein_coding	2	7	3	374	7	0	1	0	0	0	0	28	0	0	325	3	0	0	0	1	0	0	1	0	0	0	0	2	5	14
ACTN2	ENSG00000077522	ENST00000461367	processed_transcript	0	0	0	62	0	0	0	0	0	0	0	24	0	0	25	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12
