GeneSymbol	chr	NSNP	Case+	Case-	Normal+	Normal-	OR	P	Beta	P
ACAT2	chr6	1	1	136	6	99	0.121861604409063	0.997424048119839	-2.08528174613546	0.0390705290966431
ACOT13	chr6	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
ADGRB3	chr6	2	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
AGER	chr6	4	0	137	2	103	0.00182149362477231	1	-1.42106209425491	0.158290220019147
ALDH5A1	chr6	3	0	137	2	103	0.00182149362477231	1	-1.21543108701099	0.226953660666666
ANKRD66	chr6	1	0	137	0	105	1	1	NA	NA
APOBEC2	chr6	1	0	137	0	105	1	1	NA	NA
ARFGEF3	chr6	1	2	135	1	104	1.53874538745387	0.599002091834985	0.362039454737359	0.71764215305325
ARG1	chr6	1	1	136	2	103	0.379816513761468	0.919644388052536	-0.769757475987611	0.442552343492799
ARMC2	chr6	1	0	137	0	105	1	1	NA	NA
ASCC3	chr6	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
ATAT1	chr6	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
BAG6	chr6	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
BAK1	chr6	1	0	137	0	105	1	1	NA	NA
BLOC1S5-TXNDC5	chr6	3	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
BPHL	chr6	2	0	137	0	105	1	1	NA	NA
BRPF3	chr6	2	1	136	0	105	211	0.566115702479339	1	0.319086429784254
BTN3A2	chr6	2	5	132	2	103	1.94896030245747	0.345911042260767	0.833520350594018	0.405381933922803
C2	chr6	2	1	136	0	105	211	0.566115702479339	1	0.319086429784254
C6orf132	chr6	1	5	132	3	102	1.2875157629256	0.514539501258749	0.345727918997657	0.729856910009231
C6orf136	chr6	1	0	137	0	105	1	1	NA	NA
C6orf203	chr6	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
C6orf226	chr6	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
C6orf229	chr6	1	0	137	0	105	1	1	NA	NA
C6orf52	chr6	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
CAPN11	chr6	1	0	137	0	105	1	1	NA	NA
CASC6	chr6	1	4	133	1	104	3.11985018726592	0.278551452698258	1.13750789946109	0.256538470651921
CCDC28A	chr6	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CCHCR1	chr6	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CCND3	chr6	1	0	137	0	105	1	1	NA	NA
CD164	chr6	2	0	137	0	105	1	1	NA	NA
CENPW	chr6	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CEP57L1	chr6	1	0	137	0	105	1	1	NA	NA
CUL9	chr6	1	0	137	0	105	1	1	NA	NA
DDR1	chr6	5	1	136	9	96	0.078807676602695	0.99981652911821	-2.65806645284423	0.0089926403751559
DNAH8	chr6	1	0	137	0	105	1	1	NA	NA
DNPH1	chr6	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
