GeneSymbol	chr	NSNP	Case+	Case-	Normal+	Normal-	OR	P	Beta	P
AAGAB	chr15	1	0	137	0	105	1	1	NA	NA
ADAMTS17	chr15	1	0	137	0	105	1	1	NA	NA
AGBL1	chr15	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
AKAP13	chr15	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
ANKDD1A	chr15	1	0	137	0	105	1	1	NA	NA
ANPEP	chr15	2	1	136	2	103	0.379816513761468	0.919644388052536	-0.769757475987611	0.442552343492799
ANXA2	chr15	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
AQR	chr15	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
AVEN	chr15	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
BAHD1	chr15	1	0	137	0	105	1	1	NA	NA
CALML4	chr15	1	0	137	0	105	1	1	NA	NA
CATSPER2	chr15	1	15	122	10	95	1.16796394920115	0.444306086074041	0.362506263356005	0.717306478146735
CATSPER2P1	chr15	1	0	137	0	105	1	1	NA	NA
CD276	chr15	1	2	135	2	103	0.763401109057301	0.781459632778863	-0.263338977121917	0.792550625460372
CIB1	chr15	1	0	137	0	105	1	1	NA	NA
CSK	chr15	1	0	137	0	105	1	1	NA	NA
CSNK1G1	chr15	1	3	134	0	105	631	0.179700627550496	1.7449286860508	0.0832561190935399
CYP19A1	chr15	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
CYP1A1	chr15	2	1	136	0	105	211	0.566115702479339	1	0.319086429784254
DNAJA4	chr15	1	0	137	0	105	1	1	NA	NA
DYX1C1-CCPG1	chr15	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
FAM214A	chr15	1	0	137	0	105	1	1	NA	NA
FAN1	chr15	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
FES	chr15	3	17	120	13	92	1.00256328099968	0.577794835759154	-0.230134637007817	0.818224544940648
FURIN	chr15	1	0	137	0	105	1	1	NA	NA
GABPB1	chr15	1	0	137	0	105	1	1	NA	NA
GLCE	chr15	1	0	137	0	105	1	1	NA	NA
HCN4	chr15	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
HEXA	chr15	1	0	137	0	105	1	1	NA	NA
HYKK	chr15	1	0	137	0	105	1	1	NA	NA
IDH2	chr15	1	0	137	0	105	1	1	NA	NA
IGF1R	chr15	1	3	134	2	103	1.15270018621974	0.62353419818038	0.155225476322469	0.876779296640883
INO80	chr15	1	3	134	1	104	2.32342007434944	0.416544550891107	0.785448346271297	0.432979972941593
IQCH	chr15	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
ITPKA	chr15	1	0	137	0	105	1	1	NA	NA
KNL1	chr15	1	0	137	0	105	1	1	NA	NA
LOXL1-AS1	chr15	1	0	137	0	105	1	1	NA	NA
LTK	chr15	1	1	136	2	103	0.379816513761468	0.919644388052536	-0.769757475987611	0.442552343492799
MAN2A2	chr15	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
MORF4L1	chr15	1	2	135	2	103	0.763401109057301	0.781459632778863	-0.263338977121917	0.792550625460372
MYEF2	chr15	1	0	137	0	105	1	1	NA	NA
NEIL1	chr15	2	0	137	0	105	1	1	NA	NA
NEO1	chr15	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
NOX5	chr15	1	0	137	0	105	1	1	NA	NA
ODF3L1	chr15	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
OR4F15	chr15	1	0	137	0	105	1	1	NA	NA
PCSK6	chr15	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
PDE8A	chr15	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
PLA2G4D	chr15	1	0	137	0	105	1	1	NA	NA
PPCDC	chr15	1	0	137	0	105	1	1	NA	NA
PSMA4	chr15	1	0	137	0	105	1	1	NA	NA
RHCG	chr15	1	0	137	0	105	1	1	NA	NA
SCAND2P	chr15	1	0	137	0	105	1	1	NA	NA
SCG3	chr15	1	0	137	0	105	1	1	NA	NA
SCG5	chr15	1	0	137	0	105	1	1	NA	NA
SEC11A	chr15	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
SEMA4B	chr15	1	2	135	1	104	1.53874538745387	0.599002091834985	0.362039454737359	0.71764215305325
SERF2-C15ORF63	chr15	1	0	137	0	105	1	1	NA	NA
SNRPA1	chr15	1	0	137	0	105	1	1	NA	NA
SNRPN	chr15	1	0	137	0	105	1	1	NA	NA
SNUPN	chr15	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
SPATA8	chr15	1	2	135	0	105	421	0.319467782311992	1.41944172645967	0.158058277758699
SPTBN5	chr15	2	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
STARD5	chr15	1	0	137	0	105	1	1	NA	NA
SYNM	chr15	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
TEX9	chr15	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
THBS1	chr15	1	0	137	0	105	1	1	NA	NA
TJP1	chr15	1	0	137	0	105	1	1	NA	NA
TMC3-AS1	chr15	2	0	137	2	103	0.00182149362477231	1	-1.42106209425491	0.158290220019147
TMCO5B	chr15	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
TRIM69	chr15	1	0	137	0	105	1	1	NA	NA
