GeneSymbol	chr	NSNP	Case+	Case-	Normal+	Normal-	OR	P	Beta	P
ADAMTS5	chr21	1	0	137	0	105	1	1	NA	NA
ADARB1	chr21	1	0	137	0	105	1	1	NA	NA
C21orf59	chr21	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
CBR3-AS1	chr21	2	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
CBS	chr21	3	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CLDN14	chr21	1	0	137	0	105	1	1	NA	NA
COL18A1	chr21	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
DNAJC28	chr21	1	6	131	3	102	1.55654383735705	0.396931960624259	0.635003550522488	0.526033371366508
DONSON	chr21	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
DSCR8	chr21	1	0	137	0	105	1	1	NA	NA
FAM3B	chr21	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
IFNAR2	chr21	1	0	137	0	105	1	1	NA	NA
KRTAP13-1	chr21	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
KRTAP27-1	chr21	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
LSS	chr21	2	4	133	1	104	3.11985018726592	0.278551452698258	-0.218418837973021	0.827435320454297
LTN1	chr21	1	0	137	0	105	1	1	NA	NA
MORC3	chr21	1	0	137	0	105	1	1	NA	NA
MX1	chr21	2	0	137	0	105	1	1	NA	NA
NCAM2	chr21	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
NDUFV3	chr21	1	2	135	0	105	421	0.319467782311992	1.41944172645967	0.158058277758699
PCBP3	chr21	1	0	137	0	105	1	1	NA	NA
PDE9A	chr21	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
PDXK	chr21	2	2	135	1	104	1.53874538745387	0.599002091834985	-0.595469351002381	0.552658397269606
PFKL	chr21	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
POFUT2	chr21	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
PRDM15	chr21	1	0	137	0	105	1	1	NA	NA
RBM11	chr21	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
RRP1	chr21	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
TMPRSS3	chr21	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
TTC3	chr21	1	0	137	0	105	1	1	NA	NA
UMODL1	chr21	2	0	137	0	105	1	1	NA	NA
