GeneSymbol	chr	NSNP	Case+	Case-	Normal+	Normal-	OR	P	Beta	P
ACBD7-DCLRE1CP1	chr10	2	0	137	0	105	1	1	NA	NA
ADAM8	chr10	1	0	137	0	105	1	1	NA	NA
ADK	chr10	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
AGAP6	chr10	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
AKR1C2	chr10	1	5	132	4	101	0.956480605487228	0.661548927051861	-0.0646889661548269	0.94848000538616
AKR1E2	chr10	1	1	136	4	101	0.186409550045914	0.98544665246857	-1.5290837864331	0.128575478643252
ALDH18A1	chr10	1	0	137	0	105	1	1	NA	NA
ANKRD30A	chr10	3	2	135	1	104	1.53874538745387	0.599002091834985	0.362039454737359	0.71764215305325
ANTXRLP1	chr10	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
ANXA11	chr10	1	3	134	0	105	631	0.179700627550496	1.7449286860508	0.0832561190935399
ARL5B	chr10	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
ARMS2	chr10	1	7	130	5	100	1.07686395080707	0.573777782194101	0.123464017332079	0.901848743294575
ASAH2	chr10	1	0	137	0	105	1	1	NA	NA
ASCC1	chr10	1	0	137	0	105	1	1	NA	NA
AVPI1	chr10	1	4	133	7	98	0.421363392377885	0.955045110509477	-1.31923153906605	0.18883488498257
C10orf11	chr10	1	0	137	0	105	1	1	NA	NA
C10orf128	chr10	1	0	137	0	105	1	1	NA	NA
C10orf90	chr10	1	0	137	0	105	1	1	NA	NA
CALHM2	chr10	3	0	137	2	103	0.00182149362477231	1	-1.21543108701099	0.226953660666666
CASP7	chr10	2	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
CCAR1	chr10	1	0	137	0	105	1	1	NA	NA
CCDC7	chr10	3	6	131	3	102	1.55654383735705	0.396931960624259	0.635003550522488	0.526033371366508
CCNYL2	chr10	1	0	137	0	105	1	1	NA	NA
CDH23	chr10	1	0	137	0	105	1	1	NA	NA
CFAP46	chr10	4	0	137	0	105	1	1	NA	NA
CFAP70	chr10	1	0	137	0	105	1	1	NA	NA
CHAT	chr10	4	1	136	1	104	0.765567765567766	0.812763622646686	-0.575947114588485	0.565612892489716
CREM	chr10	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CYP2C18	chr10	1	0	137	0	105	1	1	NA	NA
CYP2C19	chr10	1	0	137	0	105	1	1	NA	NA
CYP2C8	chr10	4	6	131	8	97	0.555555555555556	0.910559928175658	-1.50936339219846	0.133621394573849
CYP2C9	chr10	4	7	130	6	99	0.888532991672005	0.691783212069108	-1.06359041843538	0.289614008694368
CYP2E1	chr10	3	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
DCLRE1A	chr10	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
DNMBP	chr10	2	1	136	0	105	211	0.566115702479339	1	0.319086429784254
DOCK1	chr10	2	0	137	0	105	1	1	NA	NA
DUSP13	chr10	2	11	126	13	92	0.617943240768996	0.90928494845402	-1.09270828834777	0.275841741822146
ECHDC3	chr10	4	2	135	1	104	1.53874538745387	0.599002091834985	-0.205529899055094	0.837414767781704
ENTPD1-AS1	chr10	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
FAM13C	chr10	1	0	137	0	105	1	1	NA	NA
FGFR2	chr10	1	0	137	0	105	1	1	NA	NA
FRMD4A	chr10	3	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
GLRX3	chr10	1	0	137	0	105	1	1	NA	NA
GOLGA7B	chr10	1	0	137	0	105	1	1	NA	NA
GOT1	chr10	1	0	137	0	105	1	1	NA	NA
GRID1	chr10	1	0	137	0	105	1	1	NA	NA
GSTO1	chr10	1	0	137	0	105	1	1	NA	NA
GSTO2	chr10	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
H2AFY2	chr10	1	0	137	0	105	1	1	NA	NA
HELLS	chr10	1	0	137	0	105	1	1	NA	NA
HIF1AN	chr10	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
HK1	chr10	2	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
HOGA1	chr10	1	0	137	0	105	1	1	NA	NA
IDE	chr10	2	1	136	2	103	0.379816513761468	0.919644388052536	-1.01171544464755	0.313869633334958
IDI2	chr10	3	2	135	1	104	1.53874538745387	0.599002091834985	1.15732923415836	0.24897255972502
IL15RA	chr10	1	0	137	0	105	1	1	NA	NA
INPP5F	chr10	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
ITIH2	chr10	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
JAKMIP3	chr10	1	6	131	5	100	0.916094584286804	0.677370335137809	-0.140174100183723	0.888651173528956
LIPJ	chr10	1	0	137	0	105	1	1	NA	NA
MORN4	chr10	1	5	132	2	103	1.94896030245747	0.345911042260767	0.833520350594018	0.405381933922803
MYOF	chr10	1	3	134	3	102	0.761490683229814	0.773463408242231	-0.323960738041085	0.746293810249356
NEBL	chr10	1	6	131	2	103	2.35619047619048	0.244733966861978	1.12076618651389	0.263526787849599
NFKB2	chr10	1	0	137	0	105	1	1	NA	NA
NPFFR1	chr10	1	0	137	0	105	1	1	NA	NA
NRAP	chr10	1	0	137	0	105	1	1	NA	NA
NRP1	chr10	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
NUDT13	chr10	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
OR13A1	chr10	2	7	130	0	105	1471	0.0174066843098814	2.70611842369785	0.007679805404968
PDCD4	chr10	1	0	137	0	105	1	1	NA	NA
PFKP	chr10	3	2	135	1	104	1.53874538745387	0.599002091834985	-0.391000838927054	0.696383435503709
PGAM1	chr10	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
PIK3AP1	chr10	1	0	137	0	105	1	1	NA	NA
PIP4K2A	chr10	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
PITRM1	chr10	5	0	137	2	103	0.00182149362477231	1	-1.08045135607181	0.282440425881757
PKD2L1	chr10	1	0	137	0	105	1	1	NA	NA
PLAC9	chr10	1	0	137	0	105	1	1	NA	NA
PNLIPRP1	chr10	4	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
POLL	chr10	1	0	137	0	105	1	1	NA	NA
PPIF	chr10	3	0	137	2	103	0.00182149362477231	1	-1.42106209425491	0.158290220019147
PRKG1	chr10	2	0	137	0	105	1	1	NA	NA
PRTFDC1	chr10	1	0	137	0	105	1	1	NA	NA
PTCHD3	chr10	2	0	137	0	105	1	1	NA	NA
PWWP2B	chr10	1	0	137	0	105	1	1	NA	NA
PYROXD2	chr10	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
RAB18	chr10	1	0	137	0	105	1	1	NA	NA
RET	chr10	2	1	136	1	104	0.765567765567766	0.812763622646686	-0.575947114588485	0.565612892489716
RGS10	chr10	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
RPEL1	chr10	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
