GeneSymbol	chr	NSNP	Case+	Case-	Normal+	Normal-	OR	P	Beta	P
AACSP1	chr5	1	0	137	0	105	1	1	NA	NA
ACOT12	chr5	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
AGXT2	chr5	1	0	137	0	105	1	1	NA	NA
AMACR	chr5	1	0	137	0	105	1	1	NA	NA
ANXA6	chr5	1	0	137	0	105	1	1	NA	NA
ARHGEF37	chr5	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
ARSB	chr5	2	5	132	4	101	0.956480605487228	0.661548927051861	0.542376816825423	0.588129877943033
ARSK	chr5	1	0	137	0	105	1	1	NA	NA
BHMT	chr5	4	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
BHMT2	chr5	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
BRD9	chr5	1	0	137	0	105	1	1	NA	NA
BRIX1	chr5	1	6	131	4	101	1.15633937082936	0.546843718428737	0.22184182192895	0.824633395399774
C5orf42	chr5	1	0	137	0	105	1	1	NA	NA
C5orf49	chr5	1	0	137	0	105	1	1	NA	NA
C5orf66	chr5	3	3	134	1	104	2.32342007434944	0.416544550891107	1.27665633212719	0.203431806501383
C6	chr5	1	0	137	0	105	1	1	NA	NA
CANX	chr5	1	0	137	0	105	1	1	NA	NA
CARD6	chr5	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
CAST	chr5	1	0	137	0	105	1	1	NA	NA
CCDC125	chr5	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CCNH	chr5	1	0	137	0	105	1	1	NA	NA
CD180	chr5	1	0	137	0	105	1	1	NA	NA
CLINT1	chr5	1	2	135	0	105	421	0.319467782311992	1.41944172645967	0.158058277758699
CMBL	chr5	1	0	137	0	105	1	1	NA	NA
CSF1R	chr5	6	3	134	2	103	1.15270018621974	0.62353419818038	0.155225476322469	0.876779296640883
CSNK1A1	chr5	1	0	137	0	105	1	1	NA	NA
CWC27	chr5	1	0	137	0	105	1	1	NA	NA
CYFIP2	chr5	1	1	136	2	103	0.379816513761468	0.919644388052536	-0.769757475987611	0.442552343492799
DDX4	chr5	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
DOCK2	chr5	2	0	137	0	105	1	1	NA	NA
EPB41L4A-AS2	chr5	2	3	134	1	104	2.32342007434944	0.416544550891107	0.785448346271297	0.432979972941593
ERAP1	chr5	1	0	137	0	105	1	1	NA	NA
ERAP2	chr5	2	3	134	1	104	2.32342007434944	0.416544550891107	0.975813695823242	0.330315874680078
ERBIN	chr5	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
ERGIC1	chr5	2	8	129	8	97	0.752058111380145	0.792535947555218	-0.541254147093454	0.588910326458114
EXOC3	chr5	1	0	137	0	105	1	1	NA	NA
FAM81B	chr5	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
FBXL21	chr5	1	0	137	0	105	1	1	NA	NA
FCHSD1	chr5	1	0	137	0	105	1	1	NA	NA
FGF1	chr5	1	0	137	0	105	1	1	NA	NA
FLT4	chr5	1	0	137	0	105	1	1	NA	NA
GALNT10	chr5	3	1	136	1	104	0.765567765567766	0.812763622646686	0.291141814182675	0.771212910138245
GHR	chr5	1	3	134	3	102	0.761490683229814	0.773463408242231	-0.323960738041085	0.746293810249356
GPR151	chr5	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
GPRIN1	chr5	1	9	128	9	96	0.750108459869848	0.798764176268007	-0.576790384196038	0.564702824736603
GRIA1	chr5	1	0	137	0	105	1	1	NA	NA
GRK6	chr5	1	0	137	0	105	1	1	NA	NA
HAVCR1	chr5	1	0	137	0	105	1	1	NA	NA
HINT1	chr5	1	14	123	4	101	2.87208121827411	0.0479697544899773	2.00006916364138	0.0466571900680461
HMGCS1	chr5	1	4	133	1	104	3.11985018726592	0.278551452698258	1.13750789946109	0.256538470651921
HSPA9	chr5	2	0	137	0	105	1	1	NA	NA
IL12B	chr5	2	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
IL5	chr5	1	0	137	0	105	1	1	NA	NA
KCNIP1	chr5	1	2	135	2	103	0.763401109057301	0.781459632778863	-0.263338977121917	0.792550625460372
LIFR	chr5	1	0	137	0	105	1	1	NA	NA
LINC01340	chr5	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
LINC01554	chr5	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
LINC02112	chr5	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
LOC100268168	chr5	1	0	137	0	105	1	1	NA	NA
LOC100996419	chr5	1	0	137	0	105	1	1	NA	NA
