GeneSymbol	chr	NSNP	Case+	Case-	Normal+	Normal-	OR	P	Beta	P
ABCB6	chr2	2	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
ACOXL	chr2	1	0	137	0	105	1	1	NA	NA
ACYP2	chr2	2	2	135	7	98	0.207826546800635	0.993894352281139	-1.96229970045281	0.0517012940667482
AGAP1	chr2	1	3	134	4	101	0.565703634669152	0.870663277477245	-0.717351241498222	0.474043558327793
AGXT	chr2	3	2	135	1	104	1.53874538745387	0.599002091834985	0.362039454737359	0.71764215305325
ALK	chr2	1	0	137	0	105	1	1	NA	NA
ALS2	chr2	1	5	132	2	103	1.94896030245747	0.345911042260767	0.833520350594018	0.405381933922803
ANKMY1	chr2	1	7	130	2	103	2.76967370441459	0.168634969980837	1.38402074257007	0.167688266928663
ANKRD36	chr2	1	2	135	1	104	1.53874538745387	0.599002091834985	0.362039454737359	0.71764215305325
ANO7	chr2	2	0	137	0	105	1	1	NA	NA
ANTXR1	chr2	1	0	137	0	105	1	1	NA	NA
AOX3P-AOX2P	chr2	2	13	124	7	98	1.46747265400115	0.292191099609361	1.04807623856916	0.295659791689717
APLF	chr2	1	0	137	0	105	1	1	NA	NA
AQP12B	chr2	1	3	134	1	104	2.32342007434944	0.416544550891107	0.785448346271297	0.432979972941593
ATG4B	chr2	1	0	137	0	105	1	1	NA	NA
BARD1	chr2	1	0	137	0	105	1	1	NA	NA
BOLL	chr2	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
C2orf40	chr2	1	0	137	0	105	1	1	NA	NA
C2orf50	chr2	1	0	137	0	105	1	1	NA	NA
C2orf76	chr2	1	0	137	0	105	1	1	NA	NA
C2orf91	chr2	1	20	117	7	98	2.39231238560098	0.0391368116824832	2.03783122491946	0.0426702335914142
CAD	chr2	2	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
CAPG	chr2	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CASP8	chr2	4	6	131	9	96	0.488766426451886	0.945739088784526	-1.28663855395773	0.199845582595287
CCDC121	chr2	1	0	137	0	105	1	1	NA	NA
CD207	chr2	4	0	137	4	101	0.000911577028258888	1	-1.80808053091859	0.073484105348104
CD8B	chr2	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CFLAR	chr2	1	8	129	4	101	1.56534365924492	0.341138506154803	0.737951275394743	0.461268058298912
CIAO1	chr2	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
CLASP1	chr2	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
CLHC1	chr2	1	0	137	0	105	1	1	NA	NA
CLK1	chr2	1	3	134	0	105	631	0.179700627550496	1.7449286860508	0.0832561190935399
COBLL1	chr2	1	5	132	4	101	0.956480605487228	0.661548927051861	-0.0646889661548269	0.94848000538616
COMMD1	chr2	1	0	137	0	105	1	1	NA	NA
COPS8	chr2	1	0	137	0	105	1	1	NA	NA
CPSF3	chr2	1	0	137	0	105	1	1	NA	NA
CXCR1	chr2	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
D2HGDH	chr2	1	0	137	0	105	1	1	NA	NA
DAPL1	chr2	1	0	137	0	105	1	1	NA	NA
DARS	chr2	1	0	137	0	105	1	1	NA	NA
DBI	chr2	2	7	130	5	100	1.07686395080707	0.573777782194101	0.123464017332079	0.901848743294575
DCDC2C	chr2	2	4	133	1	104	3.11985018726592	0.278551452698258	1.13750789946109	0.256538470651921
DDX18	chr2	1	0	137	0	105	1	1	NA	NA
DGKD	chr2	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
DGUOK	chr2	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
DIRC3	chr2	1	2	135	1	104	1.53874538745387	0.599002091834985	0.362039454737359	0.71764215305325
DIS3L2	chr2	2	2	135	2	103	0.763401109057301	0.781459632778863	-0.263338977121917	0.792550625460372
DNAJB2	chr2	1	4	133	4	101	0.75962441314554	0.773187663932345	-0.375760124041213	0.707478511812386
DPP4	chr2	3	0	137	0	105	1	1	NA	NA
DYSF	chr2	1	0	137	0	105	1	1	NA	NA
EIF2AK2	chr2	1	0	137	0	105	1	1	NA	NA
EMX1	chr2	1	5	132	3	102	1.2875157629256	0.514539501258749	0.345727918997657	0.729856910009231
EPCAM	chr2	1	0	137	0	105	1	1	NA	NA
ERFE	chr2	1	0	137	0	105	1	1	NA	NA
FAM179A	chr2	1	0	137	0	105	1	1	NA	NA
FAM228B	chr2	1	0	137	0	105	1	1	NA	NA
FASTKD1	chr2	1	0	137	0	105	1	1	NA	NA
FLJ31356	chr2	1	1	136	2	103	0.379816513761468	0.919644388052536	-0.769757475987611	0.442552343492799
FN1	chr2	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
GAL3ST2	chr2	1	0	137	0	105	1	1	NA	NA
GALM	chr2	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
GCA	chr2	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
GCFC2	chr2	1	0	137	0	105	1	1	NA	NA
GCKR	chr2	1	0	137	0	105	1	1	NA	NA
GEN1	chr2	1	5	132	1	104	3.92830188679245	0.181024684988121	1.44326026978035	0.15041104600208
GNLY	chr2	1	0	137	0	105	1	1	NA	NA
GORASP2	chr2	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
