GeneSymbol	chr	NSNP	Case+	Case-	Normal+	Normal-	OR	P	Beta	P
AQP4	chr18	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CABYR	chr18	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
CCBE1	chr18	1	0	137	0	105	1	1	NA	NA
CDH2	chr18	1	4	133	2	103	1.54784240150094	0.47360498811853	0.515209133984609	0.606882788763552
CIDEA	chr18	1	5	132	4	101	0.956480605487228	0.661548927051861	-0.0646889661548269	0.94848000538616
DLGAP1	chr18	1	0	137	0	105	1	1	NA	NA
DSC2	chr18	1	0	137	0	105	1	1	NA	NA
DSC3	chr18	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
DYM	chr18	1	2	135	0	105	421	0.319467782311992	1.41944172645967	0.158058277758699
HDHD2	chr18	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
HMSD	chr18	1	0	137	0	105	1	1	NA	NA
IMPA2	chr18	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
KATNAL2	chr18	1	0	137	0	105	1	1	NA	NA
LDLRAD4	chr18	1	0	137	0	105	1	1	NA	NA
LOXHD1	chr18	1	0	137	0	105	1	1	NA	NA
MBP	chr18	1	0	137	0	105	1	1	NA	NA
MEP1B	chr18	5	1	136	1	104	0.765567765567766	0.812763622646686	0.291141814182675	0.771212910138245
MPPE1	chr18	1	3	134	0	105	631	0.179700627550496	1.7449286860508	0.0832561190935399
MTCL1	chr18	1	13	124	12	93	0.81256298286866	0.760282731218794	-0.484149971821315	0.628774805935372
MYOM1	chr18	2	7	130	5	100	1.07686395080707	0.573777782194101	0.123464017332079	0.901848743294575
NDUFV2	chr18	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
OACYLP	chr18	1	1	136	4	101	0.186409550045914	0.98544665246857	-1.5290837864331	0.128575478643252
PIK3C3	chr18	1	2	135	0	105	421	0.319467782311992	1.41944172645967	0.158058277758699
PTPRM	chr18	3	2	135	2	103	0.763401109057301	0.781459632778863	-0.645864215888029	0.519253903731623
RNF152	chr18	1	0	137	0	105	1	1	NA	NA
ROCK1	chr18	1	0	137	0	105	1	1	NA	NA
SERPINB3	chr18	6	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
SERPINB7	chr18	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
SLC14A1	chr18	1	0	137	0	105	1	1	NA	NA
SNHG22	chr18	1	0	137	0	105	1	1	NA	NA
STARD6	chr18	2	0	137	0	105	1	1	NA	NA
TGIF1	chr18	1	4	133	1	104	3.11985018726592	0.278551452698258	1.13750789946109	0.256538470651921
TMX3	chr18	1	0	137	0	105	1	1	NA	NA
TYMS	chr18	1	0	137	0	105	1	1	NA	NA
TYMSOS	chr18	2	0	137	0	105	1	1	NA	NA
VPS4B	chr18	1	0	137	0	105	1	1	NA	NA
ZADH2	chr18	1	0	137	2	103	0.00182149362477231	1	-1.42106209425491	0.158290220019147
