GeneSymbol	chr	NSNP	Case+	Case-	Normal+	Normal-	OR	P	Beta	P
ABL1	chr9	1	0	137	0	105	1	1	NA	NA
ACO1	chr9	2	1	136	1	104	0.765567765567766	0.812763622646686	-0.575947114588485	0.565612892489716
ACTL7B	chr9	1	4	133	2	103	1.54784240150094	0.47360498811853	0.515209133984609	0.606882788763552
AK1	chr9	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
ALDH1B1	chr9	1	0	137	0	105	1	1	NA	NA
APTX	chr9	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
ASB6	chr9	1	0	137	0	105	1	1	NA	NA
ASS1	chr9	1	4	133	3	102	1.02252816020025	0.643863582595547	0.0286980430488565	0.977130860743259
ASTN2	chr9	1	3	134	1	104	2.32342007434944	0.416544550891107	0.785448346271297	0.432979972941593
B4GALT1	chr9	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
C8G	chr9	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
C9orf152	chr9	1	0	137	0	105	1	1	NA	NA
C9orf43	chr9	1	0	137	0	105	1	1	NA	NA
CARD19	chr9	1	0	137	2	103	0.00182149362477231	1	-1.42106209425491	0.158290220019147
CCDC183	chr9	3	0	137	0	105	1	1	NA	NA
CDK9	chr9	1	0	137	0	105	1	1	NA	NA
CDKN2B-AS1	chr9	2	1	136	3	102	0.250917992656059	0.96570597314376	-1.18886131514736	0.23643433796787
CEP78	chr9	1	0	137	0	105	1	1	NA	NA
CFAP157	chr9	1	0	137	0	105	1	1	NA	NA
CNTNAP3B	chr9	1	0	137	0	105	1	1	NA	NA
DAPK1	chr9	1	0	137	0	105	1	1	NA	NA
DDX58	chr9	2	0	137	0	105	1	1	NA	NA
DNAJB5	chr9	1	0	137	0	105	1	1	NA	NA
DNM1	chr9	1	0	137	0	105	1	1	NA	NA
DOCK8	chr9	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
DOLK	chr9	1	0	137	0	105	1	1	NA	NA
DPP7	chr9	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
EXD3	chr9	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
FAM166B	chr9	1	0	137	0	105	1	1	NA	NA
FANCG	chr9	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
FCN1	chr9	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
FIBCD1	chr9	1	0	137	0	105	1	1	NA	NA
FLJ41200	chr9	1	0	137	0	105	1	1	NA	NA
GALT	chr9	1	0	137	0	105	1	1	NA	NA
GBGT1	chr9	1	1	136	2	103	0.379816513761468	0.919644388052536	-0.769757475987611	0.442552343492799
GLT6D1	chr9	1	9	128	2	103	3.61598440545809	0.0750948766811107	1.85698607179315	0.0646485528525574
GPSM1	chr9	2	5	132	2	103	1.94896030245747	0.345911042260767	0.833520350594018	0.405381933922803
GRHPR	chr9	3	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
GSN	chr9	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
HAUS6	chr9	1	0	137	0	105	1	1	NA	NA
HDHD3	chr9	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
HMCN2	chr9	2	4	133	6	99	0.496556042579837	0.91999499861123	-1.03682976156411	0.301190885721185
IFNA17	chr9	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
IFNA5	chr9	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
INPP5E	chr9	1	2	135	0	105	421	0.319467782311992	1.41944172645967	0.158058277758699
INVS	chr9	1	2	135	3	102	0.504315659679408	0.886743255844519	-0.723827300168018	0.470106075073426
KDM4C	chr9	1	0	137	0	105	1	1	NA	NA
KYAT1	chr9	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
LCN10	chr9	1	0	137	3	102	0.00121506682867558	1	-1.74894926439041	0.0832501235799514
MAMDC2	chr9	1	3	134	2	103	1.15270018621974	0.62353419818038	0.155225476322469	0.876779296640883
MAMDC4	chr9	2	0	137	0	105	1	1	NA	NA
MAN1B1	chr9	3	1	136	1	104	0.765567765567766	0.812763622646686	-0.911542607022762	0.364087506611212
MELK	chr9	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
MFSD14C	chr9	1	0	137	0	105	1	1	NA	NA
MIR31HG	chr9	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
MLANA	chr9	1	0	137	0	105	1	1	NA	NA
MOB3B	chr9	1	0	137	0	105	1	1	NA	NA
MTAP	chr9	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
MVB12B	chr9	1	4	133	2	103	1.54784240150094	0.47360498811853	0.515209133984609	0.606882788763552
NANS	chr9	1	0	137	0	105	1	1	NA	NA
NCBP1	chr9	2	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
NIPSNAP3A	chr9	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
NIPSNAP3B	chr9	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
NR5A1	chr9	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
NTNG2	chr9	1	1	136	3	102	0.250917992656059	0.96570597314376	-1.18886131514736	0.23643433796787
NTRK2	chr9	1	0	137	0	105	1	1	NA	NA
NUDT2	chr9	1	0	137	0	105	1	1	NA	NA
NUP214	chr9	1	0	137	0	105	1	1	NA	NA
OBP2A	chr9	1	16	121	9	96	1.41027994492887	0.285098837153774	0.799143429288731	0.425011013165279
OR13C2	chr9	2	4	133	4	101	0.75962441314554	0.773187663932345	-0.375760124041213	0.707478511812386
OR13C4	chr9	1	0	137	0	105	1	1	NA	NA
OR13C5	chr9	1	4	133	4	101	0.75962441314554	0.773187663932345	-0.375760124041213	0.707478511812386
OR13C8	chr9	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
