GeneSymbol	chr	NSNP	Case+	Case-	Normal+	Normal-	OR	P	Beta	P
ACOT8	chr20	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
ADA	chr20	3	7	130	2	103	2.76967370441459	0.168634969980837	1.16300120117138	0.246033849337789
ADAM33	chr20	1	0	137	0	105	1	1	NA	NA
AHCY	chr20	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
BPIFA1	chr20	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
BPIFA2	chr20	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
BPIFA3	chr20	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
BPIFB1	chr20	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
BPIFB3	chr20	2	0	137	0	105	1	1	NA	NA
C20orf96	chr20	1	0	137	0	105	1	1	NA	NA
CDC25B	chr20	1	0	137	0	105	1	1	NA	NA
CDK5RAP1	chr20	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
CHRNA4	chr20	1	3	134	3	102	0.761490683229814	0.773463408242231	-0.323960738041085	0.746293810249356
CPNE1	chr20	2	3	134	2	103	1.15270018621974	0.62353419818038	0.155225476322469	0.876779296640883
CRNKL1	chr20	1	0	137	0	105	1	1	NA	NA
CST2	chr20	1	0	137	0	105	1	1	NA	NA
CST9	chr20	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
DEFB119	chr20	1	0	137	0	105	1	1	NA	NA
DEFB128	chr20	1	0	137	0	105	1	1	NA	NA
DIDO1	chr20	1	9	128	5	100	1.40593286494926	0.379322795909118	0.606748691196495	0.544599107145028
DYNLRB1	chr20	1	0	137	0	105	1	1	NA	NA
DZANK1	chr20	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
HAO1	chr20	3	1	136	1	104	0.765567765567766	0.812763622646686	-0.575947114588485	0.565612892489716
ITPA	chr20	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
JAG1	chr20	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
KAT14	chr20	1	0	137	0	105	1	1	NA	NA
KIAA1755	chr20	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
MGME1	chr20	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
MMP9	chr20	1	0	137	0	105	1	1	NA	NA
NFATC2	chr20	1	0	137	0	105	1	1	NA	NA
OTOR	chr20	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
PCK1	chr20	3	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
PET117	chr20	1	0	137	0	105	1	1	NA	NA
PIGT	chr20	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
PTGIS	chr20	7	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
PTPN1	chr20	2	0	137	0	105	1	1	NA	NA
RAE1	chr20	1	0	137	0	105	1	1	NA	NA
RBBP9	chr20	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
REM1	chr20	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
SDCBP2	chr20	1	0	137	0	105	1	1	NA	NA
SEMG1	chr20	1	0	137	0	105	1	1	NA	NA
SEMG2	chr20	1	0	137	0	105	1	1	NA	NA
SIGLEC1	chr20	1	0	137	0	105	1	1	NA	NA
SIRPD	chr20	1	0	137	0	105	1	1	NA	NA
SNPH	chr20	1	0	137	0	105	1	1	NA	NA
SPINT3	chr20	1	0	137	0	105	1	1	NA	NA
SULF2	chr20	1	4	133	3	102	1.02252816020025	0.643863582595547	0.0286980430488565	0.977130860743259
TASP1	chr20	1	0	137	0	105	1	1	NA	NA
TGM2	chr20	5	3	134	3	102	0.761490683229814	0.773463408242231	-0.323960738041085	0.746293810249356
TLDC2	chr20	1	0	137	0	105	1	1	NA	NA
TMC2	chr20	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
TOP1	chr20	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
UBOX5-AS1	chr20	1	0	137	3	102	0.00121506682867558	1	-1.74894926439041	0.0832501235799514
VPS16	chr20	1	0	137	0	105	1	1	NA	NA
YTHDF1	chr20	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
ZBP1	chr20	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
ZMYND8	chr20	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
ZNF343	chr20	1	0	137	0	105	1	1	NA	NA
ZSWIM1	chr20	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
