GeneSymbol	chr	NSNP	Case+	Case-	Normal+	Normal-	OR	P	Beta	P
ABHD18	chr4	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
ABLIM2	chr4	1	0	137	0	105	1	1	NA	NA
ACOX3	chr4	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
AFP	chr4	1	0	137	0	105	1	1	NA	NA
ALPK1	chr4	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
ANXA5	chr4	1	0	137	0	105	1	1	NA	NA
BDH2	chr4	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CASP6	chr4	2	1	136	0	105	211	0.566115702479339	1	0.319086429784254
CC2D2A	chr4	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
CCDC110	chr4	1	0	137	0	105	1	1	NA	NA
CCNA2	chr4	1	0	137	0	105	1	1	NA	NA
CCSER1	chr4	1	0	137	2	103	0.00182149362477231	1	-1.42106209425491	0.158290220019147
CD38	chr4	1	0	137	0	105	1	1	NA	NA
CDKL2	chr4	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
COQ2	chr4	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CPEB2-AS1	chr4	1	0	137	0	105	1	1	NA	NA
CTBP1-AS2	chr4	1	0	137	0	105	1	1	NA	NA
CWH43	chr4	2	0	137	0	105	1	1	NA	NA
CXCL6	chr4	1	0	137	0	105	1	1	NA	NA
DCHS2	chr4	1	0	137	0	105	1	1	NA	NA
DCK	chr4	1	0	137	0	105	1	1	NA	NA
DDIT4L	chr4	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
DRD5	chr4	1	0	137	0	105	1	1	NA	NA
ENPEP	chr4	1	0	137	0	105	1	1	NA	NA
EPHA5	chr4	1	3	134	3	102	0.761490683229814	0.773463408242231	-0.323960738041085	0.746293810249356
F11	chr4	2	1	136	2	103	0.379816513761468	0.919644388052536	-0.769757475987611	0.442552343492799
FAM198B	chr4	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
FBXL5	chr4	1	0	137	0	105	1	1	NA	NA
FRAS1	chr4	1	3	134	3	102	0.761490683229814	0.773463408242231	-0.323960738041085	0.746293810249356
GATB	chr4	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
GBA3	chr4	1	0	137	0	105	1	1	NA	NA
GC	chr4	1	0	137	0	105	1	1	NA	NA
GRIA2	chr4	2	0	137	0	105	1	1	NA	NA
GRK4	chr4	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
GUF1	chr4	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
GYPB	chr4	1	8	129	3	102	2.10709677419355	0.216373217849899	1.15114611902125	0.250823616188478
HGFAC	chr4	1	0	137	0	105	1	1	NA	NA
HPGDS	chr4	1	0	137	0	105	1	1	NA	NA
HPSE	chr4	1	0	137	0	105	1	1	NA	NA
IDUA	chr4	5	5	132	9	96	0.404291123264619	0.971323932863703	-1.55800964063477	0.121114051947909
KDR	chr4	2	1	136	2	103	0.379816513761468	0.919644388052536	-0.948190759651375	0.344809322841958
KIT	chr4	3	1	136	0	105	211	0.566115702479339	1	0.319086429784254
LARP1B	chr4	1	0	137	0	105	1	1	NA	NA
LINC00616	chr4	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
LINC01587	chr4	1	3	134	0	105	631	0.179700627550496	1.7449286860508	0.0832561190935399
LOC100506085	chr4	1	0	137	0	105	1	1	NA	NA
LOC100507053	chr4	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
LOC101927849	chr4	1	0	137	0	105	1	1	NA	NA
LOC101929134	chr4	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
LOC101929210	chr4	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
LOC93622	chr4	1	0	137	0	105	1	1	NA	NA
MAD2L1	chr4	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
MAPK10	chr4	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
MFSD7	chr4	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
MUC7	chr4	1	6	131	3	102	1.55654383735705	0.396931960624259	0.635003550522488	0.526033371366508
NAAA	chr4	1	0	137	0	105	1	1	NA	NA
NFKB1	chr4	1	0	137	0	105	1	1	NA	NA
NUP54	chr4	1	4	133	3	102	1.02252816020025	0.643863582595547	0.0286980430488565	0.977130860743259
OCIAD1	chr4	1	0	137	0	105	1	1	NA	NA
PACRGL	chr4	1	0	137	0	105	1	1	NA	NA
PAICS	chr4	1	0	137	0	105	1	1	NA	NA
PDE5A	chr4	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
PDE6B	chr4	2	5	132	4	101	0.956480605487228	0.661548927051861	-0.118874908431671	0.905484950672593
PDLIM5	chr4	1	0	137	0	105	1	1	NA	NA
PITX2	chr4	1	0	137	2	103	0.00182149362477231	1	-1.42106209425491	0.158290220019147
POLN	chr4	2	5	132	3	102	1.2875157629256	0.514539501258749	-0.476745054933709	0.634301913612385
PPEF2	chr4	2	1	136	0	105	211	0.566115702479339	1	0.319086429784254
PPM1K	chr4	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
RAP1GDS1	chr4	1	0	137	0	105	1	1	NA	NA
RNF212	chr4	1	4	133	4	101	0.75962441314554	0.773187663932345	-0.375760124041213	0.707478511812386
RRH	chr4	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
SCARB2	chr4	2	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
SEC24D	chr4	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
SLC26A1	chr4	2	0	137	0	105	1	1	NA	NA
SLIT2	chr4	2	0	137	0	105	1	1	NA	NA
STATH	chr4	1	0	137	0	105	1	1	NA	NA
SULT1B1	chr4	1	0	137	0	105	1	1	NA	NA
TBC1D1	chr4	1	0	137	0	105	1	1	NA	NA
TBCK	chr4	1	2	135	3	102	0.504315659679408	0.886743255844519	-0.723827300168018	0.470106075073426
TDO2	chr4	1	0	137	0	105	1	1	NA	NA
