GeneSymbol	chr	NSNP	Case+	Case-	Normal+	Normal-	OR	P	Beta	P
A4GNT	chr3	1	0	137	0	105	1	1	NA	NA
AADACL2-AS1	chr3	1	0	137	0	105	1	1	NA	NA
ABI3BP	chr3	1	4	133	1	104	3.11985018726592	0.278551452698258	1.13750789946109	0.256538470651921
ABTB1	chr3	1	0	137	0	105	1	1	NA	NA
ACAD11	chr3	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
ACTR8	chr3	2	0	137	0	105	1	1	NA	NA
ARL6IP5	chr3	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
ARPC4-TTLL3	chr3	2	0	137	0	105	1	1	NA	NA
ATP13A5	chr3	1	0	137	0	105	1	1	NA	NA
BOC	chr3	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
C3orf20	chr3	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
C3orf49	chr3	1	0	137	0	105	1	1	NA	NA
C3orf52	chr3	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
C3orf79	chr3	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
CACNA2D3	chr3	1	0	137	0	105	1	1	NA	NA
CAMP	chr3	1	0	137	0	105	1	1	NA	NA
CCDC191	chr3	1	0	137	0	105	1	1	NA	NA
CCDC54	chr3	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CCDC80	chr3	1	0	137	0	105	1	1	NA	NA
CD96	chr3	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CDHR4	chr3	1	0	137	0	105	1	1	NA	NA
CFAP100	chr3	1	0	137	0	105	1	1	NA	NA
CFAP44	chr3	1	0	137	0	105	1	1	NA	NA
CHST13	chr3	1	0	137	0	105	1	1	NA	NA
CLDN16	chr3	1	8	129	5	100	1.24012393493416	0.472630270872668	0.371695294388155	0.710457449719506
CLSTN2	chr3	1	2	135	0	105	421	0.319467782311992	1.41944172645967	0.158058277758699
CNTN6	chr3	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
COL6A5	chr3	5	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
COL6A6	chr3	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CTDSPL	chr3	1	7	130	3	102	1.82970550576184	0.296990788754607	0.902110198200881	0.367902879959655
DLG1	chr3	1	3	134	2	103	1.15270018621974	0.62353419818038	0.155225476322469	0.876779296640883
DPPA4	chr3	1	0	137	0	105	1	1	NA	NA
DUBR	chr3	1	0	137	0	105	1	1	NA	NA
ECE2	chr3	2	6	131	6	99	0.75588048315321	0.780962888081517	-0.692946192577697	0.489233157659556
EOGT	chr3	1	0	137	0	105	1	1	NA	NA
EPHA3	chr3	2	0	137	0	105	1	1	NA	NA
EPHB1	chr3	1	0	137	0	105	1	1	NA	NA
EPHB3	chr3	3	8	129	8	97	0.752058111380145	0.792535947555218	-0.541254147093454	0.588910326458114
ERICH6	chr3	1	0	137	0	105	1	1	NA	NA
FAM212A	chr3	1	0	137	0	105	1	1	NA	NA
FAM86DP	chr3	1	1	136	2	103	0.379816513761468	0.919644388052536	-0.769757475987611	0.442552343492799
FAM86HP	chr3	1	0	137	2	103	0.00182149362477231	1	-1.42106209425491	0.158290220019147
FGD5	chr3	1	0	137	0	105	1	1	NA	NA
FLNB	chr3	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
FNDC3B	chr3	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
FOXL2NB	chr3	1	0	137	0	105	1	1	NA	NA
GBE1	chr3	1	2	135	0	105	421	0.319467782311992	1.41944172645967	0.158058277758699
GFM1	chr3	1	0	137	0	105	1	1	NA	NA
GMPS	chr3	1	0	137	0	105	1	1	NA	NA
GNAI2	chr3	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
GPD1L	chr3	1	0	137	0	105	1	1	NA	NA
GUCA1C	chr3	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
HGD	chr3	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
HHLA2	chr3	1	0	137	0	105	1	1	NA	NA
HRASLS	chr3	1	0	137	0	105	1	1	NA	NA
HRG	chr3	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
HTR3D	chr3	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
HYAL1	chr3	1	0	137	0	105	1	1	NA	NA
IFT122	chr3	1	0	137	0	105	1	1	NA	NA
IFT57	chr3	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
IGSF10	chr3	1	0	137	0	105	1	1	NA	NA
IL12A-AS1	chr3	2	0	137	0	105	1	1	NA	NA
IL17RB	chr3	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
IQCF5-AS1	chr3	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
IQCJ-SCHIP1	chr3	1	0	137	0	105	1	1	NA	NA
KCNAB1	chr3	1	0	137	0	105	1	1	NA	NA
KCNH8	chr3	1	0	137	0	105	1	1	NA	NA
KCNMB3	chr3	1	0	137	0	105	1	1	NA	NA
KIF9	chr3	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
KLHL24	chr3	1	3	134	4	101	0.565703634669152	0.870663277477245	-0.717351241498222	0.474043558327793
KLHL40	chr3	1	0	137	0	105	1	1	NA	NA
KNG1	chr3	1	0	137	0	105	1	1	NA	NA
LAMP3	chr3	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
LINC02067	chr3	1	0	137	0	105	1	1	NA	NA
LMLN	chr3	1	0	137	0	105	1	1	NA	NA
LOC102723582	chr3	1	0	137	0	105	1	1	NA	NA
LOC102724297	chr3	1	5	132	3	102	1.2875157629256	0.514539501258749	0.345727918997657	0.729856910009231
LRIG1	chr3	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
LRRC34	chr3	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
MAP4	chr3	1	0	137	0	105	1	1	NA	NA
MASP1	chr3	2	1	136	1	104	0.765567765567766	0.812763622646686	-0.575947114588485	0.565612892489716
MBD4	chr3	1	2	135	2	103	0.763401109057301	0.781459632778863	-0.263338977121917	0.792550625460372
MCF2L2	chr3	1	0	137	0	105	1	1	NA	NA
METTL6	chr3	1	0	137	0	105	1	1	NA	NA
MGLL	chr3	2	3	134	2	103	1.15270018621974	0.62353419818038	-0.270759280704958	0.786898394154281
MLF1	chr3	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
MLH1	chr3	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
MRAS	chr3	1	0	137	0	105	1	1	NA	NA
MST1	chr3	1	0	137	0	105	1	1	NA	NA
MST1R	chr3	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
MUC20	chr3	1	0	137	0	105	1	1	NA	NA
MYH15	chr3	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
MYLK	chr3	1	0	137	0	105	1	1	NA	NA
NDUFB5	chr3	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
NKTR	chr3	1	0	137	0	105	1	1	NA	NA
NSUN3	chr3	1	0	137	0	105	1	1	NA	NA
NUDT16	chr3	1	0	137	0	105	1	1	NA	NA
OR5H15	chr3	1	0	137	0	105	1	1	NA	NA
OR5K2	chr3	1	4	133	3	102	1.02252816020025	0.643863582595547	0.0286980430488565	0.977130860743259
OXSM	chr3	2	0	137	0	105	1	1	NA	NA
OXSR1	chr3	1	0	137	0	105	1	1	NA	NA
PARP14	chr3	1	2	135	1	104	1.53874538745387	0.599002091834985	0.362039454737359	0.71764215305325
