GeneSymbol	chr	NSNP	Case+	Case-	Normal+	Normal-	OR	P	Beta	P
ADAM2	chr8	2	0	137	0	105	1	1	NA	NA
AGO2	chr8	1	0	137	0	105	1	1	NA	NA
ANK1	chr8	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
ASPH	chr8	1	0	137	0	105	1	1	NA	NA
ATP6V1B2	chr8	1	4	133	0	105	841	0.100752653103625	2.02243060793437	0.0450926105048168
AZIN1-AS1	chr8	1	0	137	2	103	0.00182149362477231	1	-1.42106209425491	0.158290220019147
BMP1	chr8	1	0	137	0	105	1	1	NA	NA
C8orf34-AS1	chr8	1	0	137	0	105	1	1	NA	NA
C8orf44	chr8	1	0	137	0	105	1	1	NA	NA
C8orf49	chr8	1	0	137	0	105	1	1	NA	NA
C8orf86	chr8	1	0	137	0	105	1	1	NA	NA
CA13	chr8	3	0	137	0	105	1	1	NA	NA
CCDC26	chr8	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CHMP4C	chr8	1	2	135	1	104	1.53874538745387	0.599002091834985	0.362039454737359	0.71764215305325
CLU	chr8	1	0	137	0	105	1	1	NA	NA
CLVS1	chr8	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
CPQ	chr8	1	0	137	0	105	1	1	NA	NA
CTHRC1	chr8	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
DDHD2	chr8	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
DECR1	chr8	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
DEFA4	chr8	1	0	137	0	105	1	1	NA	NA
DLC1	chr8	1	0	137	2	103	0.00182149362477231	1	-1.42106209425491	0.158290220019147
DPYS	chr8	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
DPYSL2	chr8	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
DUSP4	chr8	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
EPHX2	chr8	6	9	128	5	100	1.40593286494926	0.379322795909118	-0.166201590729126	0.868179089377439
EXTL3-AS1	chr8	1	1	136	0	105	211	0.566115702479339	1	0.319086429784254
FABP12	chr8	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
FAM83A	chr8	1	0	137	0	105	1	1	NA	NA
FAM86B3P	chr8	1	0	137	0	105	1	1	NA	NA
FDFT1	chr8	5	15	122	20	85	0.522638803523868	0.974589261012455	-1.83289194098851	0.0684327486941682
FGL1	chr8	2	2	135	0	105	421	0.319467782311992	1.41944172645967	0.158058277758699
FLJ42969	chr8	1	5	132	5	100	0.75775927327782	0.776254135674985	-0.422019278137875	0.673446856996352
GINS4	chr8	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
GML	chr8	1	0	137	0	105	1	1	NA	NA
GSDMC	chr8	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
HEY1	chr8	1	2	135	0	105	421	0.319467782311992	1.41944172645967	0.158058277758699
IDO1	chr8	1	0	137	0	105	1	1	NA	NA
IDO2	chr8	1	7	130	5	100	1.07686395080707	0.573777782194101	0.123464017332079	0.901848743294575
IKBKB	chr8	1	0	137	0	105	1	1	NA	NA
INTS8	chr8	1	7	130	3	102	1.82970550576184	0.296990788754607	0.902110198200881	0.367902879959655
KIF13B	chr8	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
LINC00535	chr8	1	0	137	0	105	1	1	NA	NA
LINC01030	chr8	1	0	137	0	105	1	1	NA	NA
LINC01606	chr8	1	0	137	0	105	1	1	NA	NA
LOC101929294	chr8	1	0	137	0	105	1	1	NA	NA
LPL	chr8	1	2	135	2	103	0.763401109057301	0.781459632778863	-0.263338977121917	0.792550625460372
LRRC69	chr8	1	0	137	0	105	1	1	NA	NA
MATN2	chr8	1	0	137	0	105	1	1	NA	NA
